Name,Material,Work Function,Voltage,Frequency,Wavelength,Colour RGB,Colour Hex,Spectrum range
"Cu,0.1518",Cu,4.53,0.1518,1.132,2.6482298541370422e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1539",Cu,4.53,0.1539,1.1326,2.647031966257635e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.156",Cu,4.53,0.156,1.1331,2.645818462470596e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1582",Cu,4.53,0.1582,1.1336,2.6445891543162054e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1604",Cu,4.53,0.1604,1.1341,2.6433438514707738e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1627",Cu,4.53,0.1627,1.1347,2.642082361739653e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1649",Cu,4.53,0.1649,1.1352,2.640804491050589e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1672",Cu,4.53,0.1672,1.1358,2.6395100434474246e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1696",Cu,4.53,0.1696,1.1364,2.6381988210841635e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1719",Cu,4.53,0.1719,1.1369,2.6368706242194237e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1743",Cu,4.53,0.1743,1.1375,2.6355252512112774e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1768",Cu,4.53,0.1768,1.1381,2.6341624985125002e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1792",Cu,4.53,0.1792,1.1387,2.6327821606662474e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1817",Cu,4.53,0.1817,1.1393,2.6313840303021648e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1843",Cu,4.53,0.1843,1.1399,2.6299678981329552e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1869",Cu,4.53,0.1869,1.1405,2.628533552951413e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1895",Cu,4.53,0.1895,1.1412,2.6270807816279462e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1921",Cu,4.53,0.1921,1.1418,2.6256093691085946e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1948",Cu,4.53,0.1948,1.1424,2.6241190984135773e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1975",Cu,4.53,0.1975,1.1431,2.6226097506363638e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.2003",Cu,4.53,0.2003,1.1438,2.6210811049433037e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.2031",Cu,4.53,0.2031,1.1445,2.6195329385738285e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.2059",Cu,4.53,0.2059,1.1451,2.617965026841233e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.2088",Cu,4.53,0.2088,1.1458,2.6163771431340778e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.2117",Cu,4.53,0.2117,1.1465,2.614769058918197e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.2146",Cu,4.53,0.2146,1.1472,2.613140543739368e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.2176",Cu,4.53,0.2176,1.148,2.611491365226635e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.2207",Cu,4.53,0.2207,1.1487,2.609821289096311e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.2238",Cu,4.53,0.2238,1.1495,2.6081300791566973e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.2269",Cu,4.53,0.2269,1.1502,2.606417497313505e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.23",Cu,4.53,0.23,1.151,2.6046833035760355e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.2333",Cu,4.53,0.2333,1.1518,2.602927256064114e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.2365",Cu,4.53,0.2365,1.1525,2.601149111015817e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.2398",Cu,4.53,0.2398,1.1533,2.5993486227959923e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.2432",Cu,4.53,0.2432,1.1541,2.5975255439056224e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.2466",Cu,4.53,0.2466,1.155,2.5956796249920205e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.25",Cu,4.53,0.25,1.1558,2.5938106148599114e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.2535",Cu,4.53,0.2535,1.1566,2.5919182604833962e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.257",Cu,4.53,0.257,1.1575,2.5900023070188403e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.2606",Cu,4.53,0.2606,1.1584,2.5880624978186982e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.2643",Cu,4.53,0.2643,1.1592,2.5860985744462998e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.2679",Cu,4.53,0.2679,1.1601,2.5841102766916243e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.2717",Cu,4.53,0.2717,1.161,2.5820973425880835e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.2755",Cu,4.53,0.2755,1.162,2.580059508430339e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.2793",Cu,4.53,0.2793,1.1629,2.5779965087931795e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.2832",Cu,4.53,0.2832,1.1638,2.5759080765514742e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.2872",Cu,4.53,0.2872,1.1648,2.573793942901246e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.2912",Cu,4.53,0.2912,1.1658,2.5716538373818573e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.2952",Cu,4.53,0.2952,1.1667,2.5694874878993728e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.2994",Cu,4.53,0.2994,1.1677,2.5672946207510912e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.3035",Cu,4.53,0.3035,1.1687,2.5650749606512886e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.3078",Cu,4.53,0.3078,1.1698,2.562828230758195e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.3121",Cu,4.53,0.3121,1.1708,2.560554152702229e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.3164",Cu,4.53,0.3164,1.1719,2.5582524466155158e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.3209",Cu,4.53,0.3209,1.1729,2.5559228311627126e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.3253",Cu,4.53,0.3253,1.174,2.5535650235731786e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.3299",Cu,4.53,0.3299,1.1751,2.5511787396744944e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.3345",Cu,4.53,0.3345,1.1762,2.548763693927378e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.3392",Cu,4.53,0.3392,1.1774,2.546319599462012e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.3439",Cu,4.53,0.3439,1.1785,2.5438461681158058e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.3487",Cu,4.53,0.3487,1.1797,2.5413431104726314e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.3536",Cu,4.53,0.3536,1.1808,2.5388101359035453e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.3585",Cu,4.53,0.3585,1.182,2.536246952609025e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.3635",Cu,4.53,0.3635,1.1832,2.5336532676627546e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.3686",Cu,4.53,0.3686,1.1845,2.5310287870569757e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.3737",Cu,4.53,0.3737,1.1857,2.528373215749432e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.3789",Cu,4.53,0.3789,1.187,2.525686257711931e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.3842",Cu,4.53,0.3842,1.1883,2.522967615980556e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.3896",Cu,4.53,0.3896,1.1896,2.520216992707541e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.395",Cu,4.53,0.395,1.1909,2.5174340892148413e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.4005",Cu,4.53,0.4005,1.1922,2.5146186060494234e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.4061",Cu,4.53,0.4061,1.1936,2.5117702430402915e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.4118",Cu,4.53,0.4118,1.1949,2.5088886993572893e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.4175",Cu,4.53,0.4175,1.1963,2.505973673571676e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.4234",Cu,4.53,0.4234,1.1977,2.5030248637185293e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.4293",Cu,4.53,0.4293,1.1991,2.5000419673609658e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.4353",Cu,4.53,0.4353,1.2006,2.4970246816562285e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.4414",Cu,4.53,0.4414,1.2021,2.4939727034236467e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.4475",Cu,4.53,0.4475,1.2036,2.490885729214489e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.4538",Cu,4.53,0.4538,1.2051,2.487763455383738e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.4601",Cu,4.53,0.4601,1.2066,2.484605578163798e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.4665",Cu,4.53,0.4665,1.2082,2.4814117937401594e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.473",Cu,4.53,0.473,1.2097,2.4781817983290304e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.4796",Cu,4.53,0.4796,1.2113,2.4749152882569635e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.4863",Cu,4.53,0.4863,1.2129,2.471611960042483e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.4931",Cu,4.53,0.4931,1.2146,2.4682715104797376e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.5",Cu,4.53,0.5,1.2162,2.464893636724176e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.507",Cu,4.53,0.507,1.2179,2.461478036380288e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.5141",Cu,4.53,0.5141,1.2196,2.4580244075913862e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.5212",Cu,4.53,0.5212,1.2214,2.4545324491314736e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
